################################################################################
# EDF_DataBlockID                 0.Image.Psd
# EDF_BinarySize                  4366944
# EDF_HeaderSize                  2560
# ByteOrder                       LowByteFirst
# DataType                        FloatValue
# Dim_1                           1028
# Dim_2                           1062
# Image                           0
# HeaderID                        EH:000000:000000:000000
# Size                            4366944
# Center_1                        607.0250
# Center_2                        650.9880
# Comment                         P2Bi8-12 - P2Bi8-12
# DDummy                          0.6
# Date                            2025-10-23T19:16:32
# Delta                           0
# Dummy                           -1.5
# ExposureTime                    60
# Gamma                           0
# Humidity-xhg                    NA
# Intensity1                      1.13599e-10
# PSize_1                         7.5e-05
# PSize_2                         7.5e-05
# Pressure                        0.107262
# SampleDistance                  0.900002
# SampleEnvKind                   saxs
# SampleEnvPN                     Capillaries
# SampleEnvSN                     601
# Temperature-TC                  NA
# Temperature-autosampler         NA
# Temperature-instec              NA
# Temperature-julabo              NA
# Temperature-linkam              NA
# Temperature-xhg                 NA
# Thickness                       0
# WaveLength                      1.541891e-10
# Wavelength                      1.54189e-10
# aux                             0
# aux_dial                        -0.006
# beamx                           607.025
# beamx_dial                      607.025
# beamz                           650.988
# beamz_dial                      650.988
# bioZ                            2.18e-08
# bioZ_dial                       0.662781
# det0x                           0
# det0x_dial                      6.24443
# det0xvd                         0
# det0xvd_dial                    0
# det0y                           900.002
# det0y_dial                      30.7055
# det0z                           0
# det0z_dial                      4.153
# det0zvd                         0
# det0zvd_dial                    0
# dual                            -1.39401e-06
# dual_dial                       128.433
# mag                             2.6365
# mag_dial                        2.6365
# om                              -1.23231e-08
# om_dial                         -0.459899
# phi                             -0.0200892
# phi_dial                        -0.00200892
# px                              0
# px_dial                         0
# pz                              0
# pz_dial                         0
# ry                              0
# ry_dial                         -0.00119886
# s1bot                           0.6
# s1bot_dial                      -0.743906
# s1hl                            0.4
# s1hl_dial                       -0.585156
# s1hr                            0.4
# s1hr_dial                       0.182188
# s1top                           0.2
# s1top_dial                      0.184219
# s2bot                           0.35
# s2bot_dial                      -1.275
# s2hl                            0.25
# s2hl_dial                       -0.426875
# s2hr                            0.25
# s2hr_dial                       -0.348438
# s2top                           0.15
# s2top_dial                      -0.270625
# wind                            64.9728
# wind_dial                       64.9916
# x                               23.9191
# x_dial                          22.9337
# z                               2.21091
# z_dial                          17.1684
# CountCutoff                     1529980
# DetectorModel                   Dectris EIGER2 Si 1M, S/N E-02-0293
# ThresholdSetting                4023.88989258
# FlatField                       Corrected
# BackgroundReductionExtra        0.02
# Detector                        0
# Monitor                         0
# Pil_Roi0                        0
# SumForIntensity1                6.81596e+06
# TransmittedFlux                 113599
# det                             0
# mon                             0
# pilai0                          6.81596e+06
# pilai1                          0
# pilct0                          6.81597e+06
# pilct1                          0
# pilroi0                         6.81595e+06
# pilroi1                         0
# sec                             0.099
# title                           P2Bi8_12_0_00000.edf
# usaxs0                          6.81484e+06
################################################################################
q(A-1)                    I(q)                      Sig(q)                    
0.000169790844575333      61591.54499701375         570.3610848747506         
0.000509372533725999      68557.72028265096         425.50290340615953        
0.0008489542228766649     88654.09893854412         306.0227824750742         
0.001188535912027331      129245.66064169095        369.49821901391095        
0.0015281176011779968     182675.54145684425        371.262056007831          
0.0018676992903286626     254504.43778634653        409.913377168253          
0.0022072809794793286     334649.37985832343        400.8557358994921         
0.0025468626686299943     386320.7324886672         396.17931656509603        
0.0028864443577806603     451592.13681080006        445.8328506286901         
0.0032260260469313263     394205.9858660403         372.56797396109863        
0.0035656077360819924     295678.37817147485        307.65033962049944        
0.003905189425232658      173228.61849264402        231.9930614790597         
0.0042447711143833245     96226.31962044149         151.99359554121497        
0.00458435280353399       39003.290144717           102.78342084554035        
0.004923934492684656      15643.613820683284        58.37171945447197         
0.005263516181835322      5255.340099581504         33.48903984985121         
0.005603097870985988      1883.0326385185874        20.14818074571155         
0.005942679560136653      744.6652197033706         11.959257547173024        
0.00628226124928732       411.7463544443611         9.14572872368003          
0.0066218429384379855     291.4722701034674         6.5622201430122855        
0.006961424627588652      198.71849924530352        5.772370063835464         
0.0073010063167393184     145.98981095047068        4.779855554050228         
0.007640588005889984      124.29157951755958        4.394119666521286         
0.00798016969504065       97.52353385132234         3.7958345815130325        
0.008319751384191316      81.0522036962607          3.2118041995164144        
0.008659333073341982      60.97813618588353         2.8829826699393872        
0.008998914762492647      52.49045416136516         2.600394056480786         
0.009338496451643313      47.33208669597181         2.370221155952687         
0.00967807814079398       40.74739720654986         2.243742703104345         
0.010017659829944646      31.9874248186556          1.885967218296309         
0.010357241519095313      26.813918917003498        1.7405270622539066        
0.010696823208245979      24.416664181601686        1.5748278177071877        
0.011036404897396645      19.95031387824403         1.416729535881432         
0.01137598658654731       21.25987486012008         1.4766195780049831        
0.011715568275697976      15.238377894725186        1.2381742026555445        
0.012055149964848641      12.04296348246809         1.0981145321117542        
0.012394731653999309      10.548197056790565        0.9576533343983349        
0.012734313343149974      9.595076350261179         0.9229076715345075        
0.01307389503230064       9.543984121758486         0.909060176040737         
0.013413476721451306      9.58545568553519          0.9263460285907058        
0.013753058410601971      8.50733812981133          0.8298500744845614        
0.014092640099752638      7.6479885597350155        0.7838247479803246        
0.014432221788903302      6.937453223719494         0.7522697028081733        
0.01477180347805397       5.892540517970064         0.6656129203237124        
0.015111385167204634      5.27411686337499          0.6252824816395656        
0.015450966856355301      4.83889109690416          0.5906947893724047        
0.015790548545505968      4.2514194974387856        0.5623828168380611        
0.016130130234656634      3.753393681985055         0.530288174791999         
0.0164697119238073        3.947723055780774         0.5089440700343995        
0.016809293612957965      2.5592436359235813        0.4203586443115649        
0.01714887530210863       2.818176200946901         0.4293464912214931        
0.017488456991259296      3.1153985052242112        0.4585745729730165        
0.017828038680409962      2.0709870445323277        0.37152207494497874       
0.01816762036956063       2.53870312601487          0.38229510352625107       
0.018507202058711293      2.22518839623039          0.38151198823896515       
