4.99967488E+001	3.56447559E+003
5.19252156E+001	3.55781006E+003
5.38536824E+001	3.53820728E+003
5.57821492E+001	3.59831226E+003
5.77106160E+001	3.73579004E+003
5.96390828E+001	3.75592139E+003
6.15675496E+001	3.64805908E+003
6.34960164E+001	3.58465430E+003
6.54244832E+001	3.59548682E+003
6.73529500E+001	3.59177832E+003
6.92814167E+001	3.60260815E+003
7.12098835E+001	3.59641992E+003
7.31383503E+001	3.59316748E+003
7.50668171E+001	3.58449829E+003
7.69952839E+001	3.50053564E+003
7.89237507E+001	3.45347119E+003
8.08522175E+001	3.46650293E+003
8.27806843E+001	3.48225122E+003
8.47091511E+001	3.43848853E+003
8.66376179E+001	3.37438672E+003
8.85660847E+001	3.36150171E+003
9.04945515E+001	3.39042041E+003
9.24230183E+001	3.39305664E+003
9.43514851E+001	3.28868579E+003
9.62799519E+001	3.24089209E+003
9.82084187E+001	3.21384644E+003
1.00136885E+002	3.18517188E+003
1.02065352E+002	3.16162549E+003
1.03993819E+002	3.18797852E+003
1.05922286E+002	3.21079126E+003
1.07850753E+002	3.15346094E+003
1.09779219E+002	3.07193970E+003
1.11707686E+002	3.03321118E+003
1.13636153E+002	3.02041870E+003
1.15564620E+002	3.00791919E+003
1.17493087E+002	2.99637988E+003
1.19421553E+002	2.98144482E+003
1.21350020E+002	2.95694702E+003
1.23278487E+002	2.92106934E+003
1.25206954E+002	2.87780957E+003
1.27135421E+002	2.83719043E+003
1.29063887E+002	2.81785889E+003
1.30992354E+002	2.83468970E+003
1.32920821E+002	2.80433057E+003
1.34849288E+002	2.74792017E+003
1.36777755E+002	2.72511914E+003
1.38706221E+002	2.74272192E+003
1.40634688E+002	2.72763550E+003
1.42563155E+002	2.69091089E+003
1.44491622E+002	2.64143433E+003
1.46420089E+002	2.61014111E+003
1.48348555E+002	2.60801221E+003
1.50277022E+002	2.59309741E+003
1.52205489E+002	2.56897510E+003
1.54133956E+002	2.55572485E+003
1.56062423E+002	2.54457959E+003
1.57990889E+002	2.51964697E+003
1.59919356E+002	2.48064209E+003
1.61847823E+002	2.45389014E+003
1.63776290E+002	2.44305811E+003
1.65704757E+002	2.44029297E+003
1.67633223E+002	2.42750830E+003
1.69561690E+002	2.36251416E+003
1.71490157E+002	2.37908374E+003
1.73418624E+002	2.37822461E+003
1.75347091E+002	2.33863501E+003
1.77275557E+002	2.30924365E+003
1.79204024E+002	2.30662622E+003
1.81132491E+002	2.28991846E+003
1.83060958E+002	2.28536646E+003
1.84989425E+002	2.28847021E+003
1.86917891E+002	2.26308887E+003
1.88846358E+002	2.23510229E+003
1.90774825E+002	2.22678394E+003
1.92703292E+002	2.21215894E+003
1.94631759E+002	2.18383594E+003
1.96560225E+002	2.16623047E+003
1.98488692E+002	2.16849951E+003
2.00417159E+002	2.16188330E+003
2.02345626E+002	2.15063135E+003
2.04274093E+002	2.13828882E+003
2.06202559E+002	2.11897412E+003
2.08131026E+002	2.12413159E+003
2.10059493E+002	2.10523242E+003
2.11987960E+002	2.10171655E+003
2.13916427E+002	2.11829297E+003
2.15844893E+002	2.07428345E+003
2.17773360E+002	2.10163428E+003
2.19701827E+002	2.09989453E+003
2.21630294E+002	2.07004834E+003
2.23558760E+002	2.03731921E+003
2.25487227E+002	2.01883008E+003
2.27415694E+002	2.01246484E+003
2.29344161E+002	2.01290833E+003
2.31272628E+002	2.01885571E+003
2.33201094E+002	2.02341602E+003
2.35129561E+002	2.00812549E+003
2.37058028E+002	1.99982935E+003
2.38986495E+002	2.00767834E+003
2.40914962E+002	2.00964990E+003
2.42843428E+002	1.99842200E+003
2.44771895E+002	2.01253882E+003
2.46700362E+002	1.99811682E+003
2.48628829E+002	2.00418115E+003
2.50557296E+002	2.01927917E+003
2.52485762E+002	2.01860303E+003
2.54414229E+002	1.98983618E+003
2.56342696E+002	1.96146362E+003
2.58271163E+002	1.97020093E+003
